Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
263,Mason Jones,SG,22,HOU,26,1,11.8,1.8,4.4,0.412,0.9,2.5,0.359,0.9,1.9,0.48,0.513,1.3,2.2,0.614,0.2,1.8,2,1.5,0.2,0,1.1,0.8,5.8
263,Mason Jones,SG,22,PHI,6,0,4.5,0.8,1.5,0.556,0.2,0.3,0.5,0.7,1.2,0.571,0.611,0.8,1.2,0.714,0.5,0.2,0.7,0.5,0.2,0,0.2,0.3,2.7
264,Tre Jones,PG,21,SAS,35,1,6.3,0.9,1.9,0.463,0.1,0.1,0.75,0.8,1.8,0.444,0.485,0.3,0.3,1,0.2,0.3,0.5,0.8,0.2,0,0.3,0.3,2.2
265,Tyus Jones,PG,24,MEM,67,8,17.6,2.6,6,0.439,0.7,2,0.324,2,3.9,0.498,0.494,0.6,0.6,0.902,0.3,1.7,2,3.8,0.9,0.1,0.7,0.4,6.4
266,DeAndre Jordan,C,32,BRK,57,43,21.9,3.3,4.4,0.763,0,0,0,3.3,4.4,0.766,0.763,0.8,1.6,0.5,2.1,5.4,7.5,1.6,0.3,1.1,1.5,2,7.5
267,Cory Joseph,PG,29,TOT,62,12,22.8,3.1,6.6,0.471,0.7,2.1,0.336,2.4,4.6,0.532,0.523,1.2,1.4,0.818,0.5,2,2.5,3.4,1,0.3,1.2,2.2,8.1
267,Cory Joseph,PG,29,SAC,44,2,21.5,2.5,5.7,0.444,0.7,2.1,0.33,1.8,3.5,0.513,0.506,0.8,1.1,0.766,0.6,1.7,2.3,2.5,0.9,0.2,1,2.2,6.6
267,Cory Joseph,PG,29,DET,18,10,26.2,4.6,9,0.512,0.7,1.9,0.353,3.9,7.1,0.555,0.549,2,2.3,0.878,0.5,2.6,3.1,5.6,1.2,0.4,1.8,2.2,11.9
268,Mfiondu Kabengele,PF,23,TOT,37,0,6.5,0.8,2.1,0.367,0.3,1.2,0.273,0.5,0.9,0.486,0.443,0.4,0.4,0.813,0.2,0.9,1.2,0.4,0.2,0.3,0.3,0.8,2.2
268,Mfiondu Kabengele,PF,23,LAC,23,0,4.1,0.4,1.4,0.281,0.2,0.8,0.222,0.2,0.6,0.357,0.344,0.2,0.3,0.833,0,0.6,0.6,0.2,0.1,0.1,0.3,0.8,1.2
268,Mfiondu Kabengele,PF,23,CLE,14,0,10.5,1.4,3.4,0.426,0.6,1.9,0.308,0.9,1.5,0.571,0.511,0.6,0.7,0.8,0.5,1.6,2.1,0.8,0.4,0.5,0.4,0.9,4
269,Frank Kaminsky,C,27,PHO,44,13,14.9,2.6,5.3,0.485,0.7,1.9,0.366,1.9,3.5,0.549,0.549,0.8,1.3,0.607,0.7,3.1,3.8,1.5,0.3,0.4,0.5,1.4,6.6
270,Enes Kanter,C,28,POR,70,35,24.6,4.7,7.9,0.6,0,0.1,0.25,4.7,7.8,0.602,0.601,1.8,2.3,0.774,4,7,11,1.2,0.5,0.7,1.1,2.3,11.2
271,Luke Kennard,SG,24,LAC,60,15,19.3,3,6.3,0.479,1.6,3.5,0.464,1.4,2.9,0.497,0.605,0.4,0.5,0.828,0.3,2.4,2.6,1.7,0.3,0.2,0.8,1.5,8.1
272,Louis King,SF,21,SAC,3,0,4.7,0.3,1.3,0.25,0,1,0,0.3,0.3,1,0.25,0,0,,0,1,1,0.3,0.3,0,0.3,1,0.7
273,Maxi Kleber,PF,29,DAL,50,40,26.8,2.3,5.5,0.422,1.7,4.2,0.41,0.6,1.3,0.46,0.58,0.7,0.7,0.919,0.9,4.3,5.2,1.4,0.5,0.7,0.6,2.1,7.1
274,Nathan Knight,PF,23,ATL,31,0,8,1,2.8,0.352,0.2,0.9,0.172,0.8,1.9,0.441,0.381,1.4,1.6,0.843,0.8,1.2,2,0.2,0.3,0.3,0.5,0.7,3.5
275,Kevin Knox,SF,21,NYK,42,0,11,1.3,3.4,0.392,0.8,2.1,0.393,0.5,1.3,0.389,0.514,0.4,0.5,0.8,0.2,1.2,1.5,0.5,0.3,0.1,0.4,0.9,3.9
276,John Konchar,SG,24,MEM,41,0,13.4,1.6,3.1,0.496,0.5,1.2,0.373,1.1,1.9,0.577,0.57,0.5,0.6,0.846,0.8,2.2,3,1.1,0.7,0.2,0.4,0.9,4.1
277,Furkan Korkmaz,SG,23,PHI,52,10,19.3,3.1,7.7,0.408,1.9,4.8,0.385,1.3,2.8,0.446,0.529,1.1,1.6,0.728,0.3,1.8,2,1.4,0.9,0.2,0.8,1.2,9.3
278,Luke Kornet,C-PF,25,TOT,29,0,10,1.2,2.9,0.429,0.5,1.8,0.288,0.7,1.1,0.656,0.518,0.1,0.2,0.5,0.4,1.6,2,0.7,0.1,0.9,0.2,0.6,3.1
278,Luke Kornet,PF,25,CHI,13,0,7.2,0.7,2.1,0.333,0.5,1.8,0.261,0.2,0.3,0.75,0.444,0.2,0.3,0.5,0.1,1.1,1.2,0.3,0.2,0.5,0.1,0.1,2
278,Luke Kornet,C,25,BOS,16,0,12.3,1.7,3.6,0.474,0.6,1.8,0.31,1.1,1.8,0.643,0.553,0.1,0.1,0.5,0.6,2.1,2.7,1.1,0.1,1.1,0.3,0.9,4
279,Rodions Kurucs,SF-PF,22,TOT,21,0,6,0.5,1.5,0.344,0.3,1,0.286,0.2,0.5,0.455,0.438,0.1,0.2,0.75,0.2,0.9,1.1,0.5,0.4,0.2,0.6,0.8,1.5
279,Rodions Kurucs,PF,22,BRK,5,0,3.2,0.2,0.6,0.333,0.2,0.4,0.5,0,0.2,0,0.5,0,0,,0,0.6,0.6,0.4,0,0,0,0.2,0.6
279,Rodions Kurucs,SF,22,HOU,11,0,6.8,0.5,1.9,0.238,0.2,1.4,0.133,0.3,0.5,0.5,0.286,0.1,0.2,0.5,0.2,0.8,1,0.4,0.5,0.4,0.8,0.6,1.2
279,Rodions Kurucs,SF,22,MIL,5,0,6.8,1,1.6,0.625,0.6,0.8,0.75,0.4,0.8,0.5,0.813,0.4,0.4,1,0.6,1.2,1.8,0.8,0.6,0,0.8,1.6,3
280,Kyle Kuzma,SF,25,LAL,66,32,28.9,5,11.3,0.441,2.1,5.7,0.36,2.9,5.6,0.524,0.532,1,1.4,0.688,1.6,4.6,6.2,1.9,0.5,0.6,1.7,1.8,13
281,Anthony Lamb,SF,23,HOU,22,2,15.6,1.7,4.6,0.373,0.9,2.8,0.323,0.8,1.8,0.45,0.471,0.6,0.7,0.867,1,1.7,2.8,0.7,0.2,0.2,0.7,1.5,5
